                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4971,                 1.6764,                 1.1601,                0.44256,                0.34438,                0.35174,                0.19212,                 1.3879,                 1.1258,                 1.1649,              0.0033295,              0.0033295,              0.0033295
                      2,                 1.4206,                 1.2268,                 1.1261,                0.42246,                 0.3885,                 0.3843,                0.21454,                 1.3359,                 1.0293,                 1.1474,              0.0065969,              0.0065969,              0.0065969
                      3,                 1.4369,                 1.1714,                 1.1412,                0.42035,                0.40919,                0.40208,                0.21726,                  1.423,                   1.05,                 1.2002,              0.0097983,              0.0097983,              0.0097983
                      4,                 1.4369,                 1.1153,                 1.1487,                0.50242,                0.37014,                0.41751,                0.22949,                 1.3264,                0.96202,                 1.1608,               0.009703,               0.009703,               0.009703
                      5,                 1.3827,                 1.0221,                 1.1297,                0.55288,                0.39994,                0.45117,                0.25219,                 1.3085,                0.93567,                 1.1521,               0.009604,               0.009604,               0.009604
                      6,                 1.3431,                0.96276,                 1.1194,                0.54652,                0.40637,                0.46366,                0.26318,                 1.2485,                 0.8991,                 1.1291,               0.009505,               0.009505,               0.009505
                      7,                 1.3233,                0.93106,                 1.1115,                0.49059,                0.45651,                0.46663,                0.27338,                 1.2504,                0.86283,                 1.1377,               0.009406,               0.009406,               0.009406
                      8,                 1.2988,                0.89497,                 1.1004,                0.64717,                0.43346,                0.52728,                0.30348,                 1.2187,                0.84058,                 1.1156,               0.009307,               0.009307,               0.009307
                      9,                 1.2759,                0.87055,                 1.0922,                0.64229,                0.46478,                0.54193,                0.31349,                 1.2264,                0.82777,                  1.115,               0.009208,               0.009208,               0.009208
                     10,                 1.2596,                0.85652,                  1.088,                0.56183,                0.51931,                0.55086,                  0.318,                  1.191,                0.80423,                 1.1086,               0.009109,               0.009109,               0.009109
                     11,                 1.2366,                0.83513,                 1.0766,                0.53663,                0.52253,                0.54606,                 0.3257,                  1.171,                0.78868,                 1.0876,                0.00901,                0.00901,                0.00901
                     12,                 1.2313,                0.82378,                 1.0709,                0.59256,                0.50158,                0.54254,                0.31579,                 1.1681,                0.78328,                 1.0939,               0.008911,               0.008911,               0.008911
                     13,                 1.2126,                0.80485,                 1.0674,                0.58556,                0.52179,                0.55187,                0.31859,                 1.1674,                0.78387,                 1.0945,               0.008812,               0.008812,               0.008812
                     14,                 1.2014,                0.79365,                 1.0644,                0.57761,                0.55499,                0.57178,                0.33291,                 1.1655,                0.75905,                 1.0904,               0.008713,               0.008713,               0.008713
                     15,                 1.1955,                0.78427,                 1.0588,                0.62826,                0.53069,                0.57869,                0.34727,                 1.1309,                  0.738,                 1.0758,               0.008614,               0.008614,               0.008614
                     16,                 1.1826,                0.77583,                 1.0544,                0.67035,                0.51393,                0.58243,                0.34959,                  1.133,                 0.7442,                  1.074,               0.008515,               0.008515,               0.008515
                     17,                 1.1717,                 0.7623,                  1.048,                 0.6305,                0.55774,                0.60633,                0.37002,                 1.1292,                0.73605,                  1.072,               0.008416,               0.008416,               0.008416
                     18,                 1.1631,                0.75968,                 1.0484,                0.66437,                0.56888,                0.61851,                0.37149,                  1.115,                0.71421,                 1.0627,               0.008317,               0.008317,               0.008317
                     19,                 1.1602,                0.75195,                 1.0452,                0.63475,                0.58242,                0.62303,                0.37042,                 1.1052,                0.70191,                 1.0599,               0.008218,               0.008218,               0.008218
                     20,                  1.147,                0.74068,                  1.041,                0.62633,                 0.5847,                0.62072,                0.37842,                  1.082,                0.69888,                 1.0515,               0.008119,               0.008119,               0.008119
                     21,                 1.1423,                0.73195,                 1.0371,                0.65607,                0.57957,                0.61923,                0.37981,                 1.0805,                0.68708,                 1.0522,                0.00802,                0.00802,                0.00802
                     22,                 1.1231,                0.71751,                 1.0302,                0.67007,                0.56973,                0.62338,                0.38629,                 1.0811,                 0.6908,                 1.0534,               0.007921,               0.007921,               0.007921
                     23,                  1.129,                0.71987,                 1.0324,                0.65035,                0.60227,                0.65229,                0.39422,                 1.0841,                0.68178,                 1.0483,               0.007822,               0.007822,               0.007822
                     24,                 1.1172,                0.70987,                 1.0271,                0.68772,                0.59376,                0.65266,                0.40385,                   1.07,                0.67886,                 1.0426,               0.007723,               0.007723,               0.007723
                     25,                 1.1184,                0.71309,                 1.0266,                0.65059,                0.58794,                0.64171,                0.39701,                 1.0509,                 0.6722,                 1.0384,               0.007624,               0.007624,               0.007624
                     26,                 1.1087,                 0.7073,                 1.0217,                0.72225,                0.59547,                0.66063,                0.40392,                 1.0616,                0.65754,                 1.0378,               0.007525,               0.007525,               0.007525
                     27,                 1.0968,                0.69433,                 1.0212,                0.67515,                0.60092,                0.65104,                0.39749,                 1.0605,                0.66908,                 1.0401,               0.007426,               0.007426,               0.007426
                     28,                 1.0969,                0.69608,                 1.0187,                0.68552,                0.63181,                0.66956,                0.40931,                 1.0403,                0.65221,                 1.0391,               0.007327,               0.007327,               0.007327
                     29,                 1.0905,                0.69208,                 1.0203,                0.71115,                0.61026,                0.66359,                0.41269,                 1.0399,                0.64506,                 1.0316,               0.007228,               0.007228,               0.007228
                     30,                 1.0838,                0.68656,                  1.014,                0.69324,                 0.6108,                0.66005,                0.41492,                 1.0362,                0.63883,                 1.0327,               0.007129,               0.007129,               0.007129
                     31,                 1.0681,                0.67253,                 1.0059,                0.68665,                0.61799,                0.66008,                0.40781,                 1.0301,                0.63588,                 1.0319,                0.00703,                0.00703,                0.00703
                     32,                 1.0714,                0.67525,                 1.0087,                0.67717,                0.60973,                0.67095,                0.42218,                 1.0296,                0.63385,                  1.027,               0.006931,               0.006931,               0.006931
                     33,                  1.066,                0.67298,                 1.0043,                0.69367,                0.64055,                0.68286,                  0.428,                 1.0214,                0.62886,                 1.0249,               0.006832,               0.006832,               0.006832
                     34,                 1.0613,                0.66833,                 1.0055,                0.71359,                0.62607,                0.67944,                0.42898,                 1.0128,                0.62403,                 1.0158,               0.006733,               0.006733,               0.006733
                     35,                 1.0547,                0.66044,                 1.0033,                0.72291,                0.61433,                 0.6895,                0.43598,                0.99807,                0.61324,                 1.0199,               0.006634,               0.006634,               0.006634
                     36,                 1.0529,                0.65893,                 1.0026,                0.69027,                0.64131,                0.68332,                0.44142,                0.99934,                0.61458,                 1.0195,               0.006535,               0.006535,               0.006535
                     37,                 1.0457,                 0.6553,                 1.0006,                0.69677,                0.65281,                0.69666,                0.44274,                0.99875,                0.61341,                 1.0154,               0.006436,               0.006436,               0.006436
                     38,                 1.0437,                0.65401,                0.99721,                0.74194,                0.62389,                0.68686,                0.43835,                0.98465,                0.60718,                 1.0096,               0.006337,               0.006337,               0.006337
                     39,                 1.0362,                0.64663,                0.99981,                0.69548,                0.65899,                0.69629,                0.45365,                0.97776,                0.59725,                 1.0078,               0.006238,               0.006238,               0.006238
                     40,                 1.0347,                0.64103,                0.99476,                0.69212,                0.65627,                0.69831,                  0.449,                0.98605,                0.59562,                 1.0067,               0.006139,               0.006139,               0.006139
                     41,                 1.0305,                0.63953,                0.99207,                0.72441,                0.61992,                0.69035,                0.44439,                0.98122,                0.59926,                 1.0031,                0.00604,                0.00604,                0.00604
                     42,                 1.0227,                0.63487,                0.99094,                0.72211,                0.64728,                0.69912,                0.44875,                0.97248,                0.59618,                 1.0021,               0.005941,               0.005941,               0.005941
                     43,                  1.026,                0.63703,                0.99275,                0.71449,                 0.6752,                0.70683,                0.45661,                 0.9791,                0.59948,                 1.0091,               0.005842,               0.005842,               0.005842
                     44,                 1.0184,                0.62817,                 0.9894,                0.68749,                0.64543,                 0.6917,                0.44654,                0.96888,                0.58902,                 1.0031,               0.005743,               0.005743,               0.005743
                     45,                 1.0205,                0.63195,                0.98908,                0.69962,                0.64372,                0.70108,                0.45628,                0.95839,                0.58026,                 0.9986,               0.005644,               0.005644,               0.005644
                     46,                 1.0099,                0.62576,                0.98387,                0.73185,                0.66403,                0.70805,                0.45607,                0.95961,                0.58328,                0.99833,               0.005545,               0.005545,               0.005545
                     47,                 1.0092,                0.62449,                0.98594,                0.72825,                0.66058,                0.71359,                0.46375,                0.94998,                0.57552,                0.99631,               0.005446,               0.005446,               0.005446
                     48,                 0.9993,                 0.6175,                 0.9819,                0.71824,                0.67397,                 0.7172,                0.46578,                0.95217,                0.57589,                0.99638,               0.005347,               0.005347,               0.005347
                     49,                0.99793,                0.61395,                0.98006,                0.74206,                0.64581,                0.71328,                0.46138,                0.94968,                0.56922,                0.99468,               0.005248,               0.005248,               0.005248
                     50,                 0.9923,                0.61029,                0.97761,                0.71926,                0.67432,                0.72404,                0.46857,                0.93985,                0.56647,                0.99272,               0.005149,               0.005149,               0.005149
                     51,                 0.9922,                0.60726,                0.97679,                0.73223,                0.67475,                0.72101,                0.46485,                0.94521,                0.56958,                 0.9947,                0.00505,                0.00505,                0.00505
                     52,                0.98848,                0.60563,                0.97609,                0.74197,                0.66371,                0.72145,                0.46606,                0.93654,                0.56834,                0.98867,               0.004951,               0.004951,               0.004951
                     53,                0.98558,                0.60693,                0.97504,                0.72689,                0.65979,                0.71561,                0.46757,                0.93914,                 0.5652,                0.99007,               0.004852,               0.004852,               0.004852
                     54,                0.98649,                0.60436,                0.97491,                0.75162,                0.66474,                0.72418,                0.47337,                0.93424,                0.56138,                0.99143,               0.004753,               0.004753,               0.004753
                     55,                0.97991,                0.59995,                0.97284,                0.73959,                0.67751,                0.72791,                0.47435,                0.92786,                  0.559,                0.98648,               0.004654,               0.004654,               0.004654
                     56,                0.97977,                0.59903,                0.97239,                0.73207,                0.68092,                0.73319,                0.48451,                0.92469,                0.55545,                0.98543,               0.004555,               0.004555,               0.004555
                     57,                0.97833,                 0.5974,                0.97277,                0.71129,                0.69082,                0.72876,                0.47917,                0.91939,                0.55222,                0.98392,               0.004456,               0.004456,               0.004456
                     58,                0.96754,                0.58835,                0.96637,                0.71881,                0.69414,                0.73014,                0.48046,                0.92066,                0.55503,                0.97964,               0.004357,               0.004357,               0.004357
                     59,                0.96243,                0.58704,                0.96441,                0.71712,                0.68507,                0.73162,                0.48621,                0.91789,                0.54956,                0.98156,               0.004258,               0.004258,               0.004258
                     60,                0.96324,                 0.5873,                0.96655,                0.69103,                 0.6968,                0.72807,                0.47943,                0.91765,                0.55011,                0.98392,               0.004159,               0.004159,               0.004159
                     61,                0.95678,                0.58127,                0.96372,                0.73719,                0.68288,                0.73372,                0.48769,                 0.9102,                0.54548,                0.97917,                0.00406,                0.00406,                0.00406
                     62,                0.95736,                0.58118,                0.96414,                0.72818,                0.67723,                0.73301,                0.48983,                0.90357,                0.54405,                0.97446,               0.003961,               0.003961,               0.003961
                     63,                0.95462,                0.57995,                0.96274,                0.73901,                0.68306,                0.73743,                0.49086,                0.90333,                 0.5454,                0.97562,               0.003862,               0.003862,               0.003862
                     64,                0.94851,                0.57726,                0.96169,                 0.7404,                0.69249,                0.73531,                0.48887,                 0.9015,                0.54367,                0.97429,               0.003763,               0.003763,               0.003763
                     65,                0.94585,                0.57482,                0.95745,                0.73349,                0.69348,                0.73407,                0.49397,                 0.8959,                0.54028,                0.97231,               0.003664,               0.003664,               0.003664
                     66,                 0.9444,                0.57048,                0.95899,                0.72625,                0.70178,                0.73873,                0.49633,                0.90037,                0.53619,                0.97579,               0.003565,               0.003565,               0.003565
                     67,                 0.9389,                0.57002,                0.95909,                 0.7592,                0.68257,                0.73823,                 0.4929,                0.89623,                0.53507,                0.97337,               0.003466,               0.003466,               0.003466
                     68,                0.93443,                0.56685,                0.95544,                0.74388,                0.69145,                0.74457,                0.49599,                 0.8941,                0.53386,                0.97348,               0.003367,               0.003367,               0.003367
                     69,                0.93364,                 0.5658,                0.95569,                0.75712,                0.69029,                 0.7457,                0.49435,                0.89965,                0.53798,                0.97344,               0.003268,               0.003268,               0.003268
                     70,                0.93445,                0.56422,                0.95328,                0.74746,                0.70559,                0.74007,                0.49459,                0.89254,                0.53316,                0.97118,               0.003169,               0.003169,               0.003169
                     71,                0.92465,                0.55945,                0.95198,                0.71968,                0.71709,                0.74795,                0.49763,                0.88978,                0.53144,                0.96903,                0.00307,                0.00307,                0.00307
                     72,                0.91949,                0.55529,                0.95272,                 0.7424,                0.70296,                0.74506,                 0.5011,                0.88752,                0.52823,                0.96949,               0.002971,               0.002971,               0.002971
                     73,                0.92612,                0.55945,                 0.9528,                0.72083,                0.70779,                0.74542,                0.50354,                0.88845,                0.52372,                0.96814,               0.002872,               0.002872,               0.002872
                     74,                0.92011,                0.55403,                0.94864,                0.74164,                 0.6991,                0.74625,                  0.502,                0.87933,                0.52424,                 0.9657,               0.002773,               0.002773,               0.002773
                     75,                0.91435,                0.55234,                0.94661,                0.73853,                0.70443,                0.74536,                0.50058,                0.87905,                0.52344,                0.96281,               0.002674,               0.002674,               0.002674
                     76,                0.91425,                0.55142,                  0.946,                0.77176,                0.69318,                0.74939,                0.50353,                 0.8832,                0.52328,                0.96562,               0.002575,               0.002575,               0.002575
                     77,                0.90753,                0.54528,                 0.9438,                0.75167,                0.70216,                0.74769,                0.50264,                0.87947,                0.52369,                0.96565,               0.002476,               0.002476,               0.002476
                     78,                0.90744,                0.54339,                0.94403,                0.74042,                0.70363,                0.74873,                0.50323,                0.88174,                0.52186,                0.96728,               0.002377,               0.002377,               0.002377
                     79,                0.90373,                0.54666,                0.94457,                0.73774,                0.72475,                0.75191,                0.50478,                0.87832,                0.52092,                0.96659,               0.002278,               0.002278,               0.002278
                     80,                0.89595,                0.53937,                0.94461,                0.74099,                0.71964,                0.75212,                 0.5044,                0.87522,                0.51943,                0.96682,               0.002179,               0.002179,               0.002179
                     81,                0.90063,                0.54341,                0.94283,                0.74874,                0.71465,                0.75421,                0.50759,                0.87544,                0.51801,                0.96483,                0.00208,                0.00208,                0.00208
                     82,                 0.8947,                0.53844,                0.93948,                0.74863,                0.72288,                0.75936,                0.50945,                0.87526,                0.51847,                0.96374,               0.001981,               0.001981,               0.001981
                     83,                 0.8875,                0.53208,                0.93902,                0.74622,                0.71123,                0.75395,                0.50693,                 0.8736,                0.51605,                0.96423,               0.001882,               0.001882,               0.001882
                     84,                0.88855,                0.53351,                0.93867,                0.74912,                0.71348,                0.75413,                0.51032,                0.87156,                0.51599,                0.96418,               0.001783,               0.001783,               0.001783
                     85,                0.88842,                0.53299,                0.93828,                 0.7658,                0.70511,                0.75532,                0.50807,                0.87144,                0.51463,                0.96456,               0.001684,               0.001684,               0.001684
                     86,                0.88337,                0.52804,                0.93899,                0.74399,                0.71358,                 0.7526,                 0.5098,                0.86726,                0.51534,                 0.9632,               0.001585,               0.001585,               0.001585
                     87,                0.88271,                0.52916,                0.93495,                0.75296,                0.71458,                 0.7572,                0.51217,                0.86549,                0.51422,                0.96175,               0.001486,               0.001486,               0.001486
                     88,                0.87754,                0.52606,                0.93453,                0.74399,                0.71656,                  0.751,                0.51103,                  0.866,                0.51261,                 0.9608,               0.001387,               0.001387,               0.001387
                     89,                0.87687,                 0.5266,                0.93345,                0.74896,                0.70996,                0.75362,                0.51506,                0.86371,                0.51216,                0.96027,               0.001288,               0.001288,               0.001288
                     90,                0.87215,                0.52021,                0.93111,                0.75611,                 0.7123,                0.75554,                0.51289,                 0.8626,                0.51015,                 0.9606,               0.001189,               0.001189,               0.001189
                     91,                 0.8594,                0.50462,                0.92442,                0.76627,                0.70227,                0.75244,                0.50817,                0.86485,                0.50949,                0.96093,                0.00109,                0.00109,                0.00109
                     92,                 0.8434,                0.49322,                0.91805,                0.76934,                0.70927,                0.75318,                0.50596,                0.86864,                0.51054,                0.96179,               0.000991,               0.000991,               0.000991
                     93,                0.83964,                0.49102,                0.91704,                0.76206,                0.71784,                0.75366,                0.50734,                0.86846,                0.50939,                0.96185,               0.000892,               0.000892,               0.000892
                     94,                0.83232,                0.48581,                 0.9146,                 0.7767,                0.70535,                0.75438,                0.50933,                0.86781,                0.50863,                0.96087,               0.000793,               0.000793,               0.000793
                     95,                0.82583,                0.48339,                0.91252,                0.77081,                0.70884,                0.75276,                0.50925,                0.86885,                0.50833,                0.96099,               0.000694,               0.000694,               0.000694
                     96,                0.82174,                0.48153,                 0.9104,                0.77464,                0.71363,                0.75504,                0.51104,                 0.8684,                0.50729,                0.96064,               0.000595,               0.000595,               0.000595
                     97,                0.81689,                0.47884,                0.90787,                0.77512,                0.70907,                0.75478,                0.50952,                 0.8678,                 0.5068,                0.96071,               0.000496,               0.000496,               0.000496
                     98,                0.81541,                0.47786,                0.90716,                0.77502,                0.70348,                 0.7541,                0.51108,                0.86586,                0.50642,                0.96041,               0.000397,               0.000397,               0.000397
                     99,                0.80962,                0.47424,                0.90817,                0.77492,                0.70526,                0.75504,                0.50924,                0.86578,                0.50593,                0.96017,               0.000298,               0.000298,               0.000298
                    100,                0.80872,                0.47366,                0.90717,                0.77878,                0.70559,                0.75367,                0.50859,                0.86517,                 0.5059,                0.96024,               0.000199,               0.000199,               0.000199
